describe,evaluate,introduce,movie_name,serial_number,star
偷情本没有这样美。,441003人评价,"导演: 王家卫 Kar Wai Wong 主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000 / 中国香港 / 剧情 爱情",花样年华,167,8.7
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,468934人评价,"导演: 莫滕·泰杜姆 Morten Tyldum 主演: 本尼迪克特·康伯巴奇 Benedict C...,2014 / 英国 美国 / 剧情 传记 战争 同性",模仿游戏,168,8.7
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,1062824人评价,"导演: 新海诚 Makoto Shinkai 主演: 神木隆之介 Ryûnosuke Kamiki / 上...,2016 / 日本 / 剧情 爱情 动画",你的名字。,169,8.4
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,325342人评价,"导演: Andy Wachowski / Larry Wachowski 主演: 基努·里维斯 Keanu Reeves...,2003 / 美国 澳大利亚 / 动作 科幻",黑客帝国3：矩阵革命,170,8.8
始于荒诞，止于更荒诞。,325439人评价,"导演: 达米安·斯兹弗隆 Damián Szifron 主演: 达里奥·葛兰帝内提 Darío...,2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪",荒蛮故事,171,8.8
要做就做得狠一点，这样才能活下去。,267264人评价,"导演: 朴勋政 Hoon-jung Park 主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013 / 韩国 / 剧情 犯罪",新世界,172,8.8
幸福是生生不息，却难以触及的远。 ,336877人评价,"导演: 高畑勋 Isao Takahata 主演: 辰己努 / 白石绫乃 / 志乃原良子,1988 / 日本 / 动画 剧情 战争",萤火虫之墓,173,8.7
养狗三日，便会对你终其一生。,144026人评价,"导演: Seijirô Kôyama 主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...,1987 / 日本 / 剧情",忠犬八公物语,174,9.2
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,431783人评价,"导演: 达米恩·查泽雷 Damien Chazelle 主演: 迈尔斯·特勒 Miles Teller /...,2014 / 美国 / 剧情 音乐",爆裂鼓手,175,8.7
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,598021人评价,"导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan 主演: 戴夫...,2008 / 英国 / 剧情 爱情",贫民窟的百万富翁,176,8.6
电影诗。,461598人评价,"导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,1994 / 中国香港 中国台湾 / 剧情 动作 爱情 武侠 古装",东邪西毒,177,8.6
爱，是个动词。,552078人评价,"导演: 理查德·柯蒂斯 Richard Curtis 主演: 休·格兰特 Hugh Grant / 柯林...,2003 / 英国 美国 法国 / 喜剧 剧情 爱情",真爱至上,178,8.6
愿我们都不用长大，每一座城堡都能永远存在。,446246人评价,"导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen &nb...,2015 / 美国 / 喜剧 动画 冒险",头脑特工队,179,8.7
黑暗之美。,660908人评价,"导演: 达伦·阿罗诺夫斯基 Darren Aronofsky 主演: 娜塔莉·波特曼 Natalie...,2010 / 美国 / 剧情 惊悚",黑天鹅,180,8.6
是枝裕和的家庭习作。,311238人评价,"导演: 是枝裕和 Hirokazu Koreeda 主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015 / 日本 / 剧情 家庭",海街日记,181,8.8
感情不分食草或者食肉。,262946人评价,"导演: 藤森雅也 Masaya Fujimori 主演: 山口胜平 Kappei Yamaguchi / 爱河...,2010 / 日本 / 剧情 动画 儿童",你看起来好像很好吃,182,8.9
故事的反转与反转，分裂电影的始祖。,187103人评价,"导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock 主演: 安东尼·博金斯 Antho...,1960 / 美国 / 悬疑 惊悚 恐怖",惊魂记,183,9.0
迪士尼和皮克斯拿错剧本的产物。,408521人评价,"导演: 瑞奇·莫尔 Rich Moore 主演: 约翰·C·赖利 John C. Reilly / 萨拉...,2012 / 美国 / 喜剧 动画 奇幻 冒险",无敌破坏王,184,8.7
松鼠才是角儿。,485756人评价,"导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge 主演...,2002 / 美国 / 喜剧 动画 冒险",冰川时代,185,8.6
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,324277人评价,"导演: 巴瑞·莱文森 Barry Levinson 主演: 达斯汀·霍夫曼 Dustin Hoffman ...,1988 / 美国 / 剧情",雨人,186,8.7
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,508809人评价,"导演: 尼克·卡索维茨 Nick Cassavetes 主演: 瑞恩·高斯林 Ryan Gosling /...,2004 / 美国 / 剧情 爱情",恋恋笔记本,187,8.5
我们组成了家。,635217人评价,"导演: 是枝裕和 Hirokazu Koreeda 主演: 中川雅也 Lily Franky / 安藤樱 Sa...,2018 / 日本 / 剧情 犯罪 家庭",小偷家族,188,8.7
天使暂时离开。,223487人评价,"导演: Frank Darabont 主演: 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,1999 / 美国 / 犯罪 剧情 奇幻 悬疑",绿里奇迹,189,8.9
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,258520人评价,"导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ...,2013 / 美国 希腊 / 剧情 爱情",爱在午夜降临前,190,8.8
不要企图在重复中寻找已经失去的爱。,610871人评价,"导演: 克里斯托弗·史密斯 Christopher Smith 主演: 梅利莎·乔治 Melissa ...,2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚",恐怖游轮,191,8.5
中国版《两杆大烟枪》。,618237人评价,"导演: 宁浩 Hao Ning 主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006 / 中国大陆 中国香港 / 喜剧 犯罪",疯狂的石头,192,8.5
世界不完美，爱会有奇迹。,444715人评价,"导演: 斯蒂芬·卓博斯基 Stephen Chbosky 主演: 雅各布·特伦布莱 Jacob Tr...,2017 / 美国 中国香港 / 剧情 儿童 家庭",奇迹男孩,193,8.6
有一些东西不应该被遗忘。,227956人评价,"导演: 郭柯 Ke Guo 主演:,2015 / 中国大陆 / 纪录片",二十二,194,8.7
我们都有权利不与自己的过去和解。,374505人评价,"导演: 肯尼斯·罗纳根 Kenneth Lonergan 主演: 卡西·阿弗莱克 Casey Affle...,2016 / 美国 / 剧情 家庭",海边的曼彻斯特,195,8.6
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,356583人评价,"导演: 宫崎骏 Hayao Miyazaki 主演: 高山南 Minami Takayama / 佐久间玲 Re...,1989 / 日本 / 动画 奇幻 冒险",魔女宅急便,196,8.6
骨灰级歌舞片。,159092人评价,"导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly 主演: 吉恩·...,1952 / 美国 / 喜剧 歌舞 爱情",雨中曲,197,9.0
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,306299人评价,"导演: 伦尼·阿伯拉罕森 Lenny Abrahamson 主演: 布丽·拉尔森 Brie Larson...,2015 / 爱尔兰 加拿大 英国 美国 / 剧情 家庭",房间,198,8.8
永远看不腻的喜剧。,182692人评价,"导演: 杰拉尔·乌里 Gérard Oury 主演: 路易·德·菲耐斯 Louis de Funès...,1966 / 法国 英国 / 喜剧 战争",虎口脱险,199,8.9
对爱的执着，可以超越一切。,338809人评价,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 海利·乔·奥斯蒙 Haley...,2001 / 美国 / 剧情 科幻",人工智能,200,8.7
,409186人评价,"导演: 迈克·内威尔 Mike Newell 主演: 丹尼尔·雷德克里夫 Daniel Radclif...,2005 / 英国 美国 / 悬疑 奇幻 冒险",哈利·波特与火焰杯,201,8.6
人生的N种可能性。,235279人评价,"导演: 黑泽明 Akira Kurosawa 主演: 三船敏郎 Toshirô Mifune / 京町子 ...,1950 / 日本 / 剧情 犯罪 悬疑",罗生门,202,8.8
少见的超越首部的续集，动作片中的经典。,270557人评价,"导演: 詹姆斯·卡梅隆 James Cameron 主演: 阿诺·施瓦辛格 Arnold Schwarz...,1991 / 美国 法国 / 动作 科幻",终结者2：审判日,203,8.7
坚硬的信仰。,227474人评价,"导演: 陆川 Chuan Lu 主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004 / 中国大陆 中国香港 / 剧情 犯罪",可可西里,204,8.8
现代科幻电影的开山之作，最伟大导演的最伟大影片。,221330人评价,"导演: 斯坦利·库布里克 Stanley Kubrick 主演: 凯尔·杜拉 Keir Dullea / ...,1968 / 英国 美国 / 科幻 惊悚 冒险",2001太空漫游,205,8.8
黑小鸭速效美白记。,804376人评价,"导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010 / 泰国 / 剧情 喜剧 爱情",初恋这件小事,206,8.4
永远的小人物，伟大的卓别林。,100198人评价,"导演: Charles Chaplin 主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931 / 美国 / 喜剧 剧情 爱情",城市之光,207,9.3
假戏真情，爱欲深海,531718人评价,"导演: 李安 Ang Lee 主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色",色，戒,208,8.5
,439367人评价,"导演: 王晶 Jing Wong 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994 / 中国香港 / 剧情 喜剧 古装",九品芝麻官,209,8.5
中国式内在的美国电影。,214237人评价,"导演: 茂文·勒鲁瓦 Mervyn LeRoy 主演: 费雯·丽 Vivien Leigh / 罗伯特·...,1940 / 美国 / 剧情 爱情 战争",魂断蓝桥,210,8.8
弱者送给弱者的一刀。,199345人评价,"导演: 杨德昌 Edward Yang 主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991 / 中国台湾 / 剧情 犯罪",牯岭街少年杀人事件,211,8.8
大海啊，不全是水。,134901人评价,"导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud 主演:...,2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片",海洋,212,9.1
用剩余不多的时间，去燃烧整个生命。,298432人评价,"导演: 罗伯·莱纳 Rob Reiner 主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,2007 / 美国 / 冒险 喜剧 剧情",遗愿清单,213,8.6
传奇，不是每个人都可以拥有。,227722人评价,"导演: 爱德华·兹威克 Edward Zwick 主演: 布拉德·皮特 Brad Pitt / 安东...,1994 / 美国 / 剧情 爱情 战争 西部",燃情岁月,214,8.8
嬉笑怒骂，调风动月。,340908人评价,"导演: 李惠民 Raymond Lee 主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992 / 中国香港 中国大陆 / 动作 爱情 武侠 古装",新龙门客栈,215,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,641128人评价,"导演: 邓肯·琼斯 Duncan Jones 主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011 / 美国 加拿大 / 科幻 悬疑 惊悚",源代码,216,8.5
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,396077人评价,"导演: 徐克 Hark Tsui 主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993 / 中国香港 中国大陆 / 剧情 爱情 奇幻 古装",青蛇,217,8.6
人们可以登上月球，却永远无法探索人们内心的宇宙。,304587人评价,"导演: 黄信尧 Hsin-yao Huang 主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017 / 中国台湾 / 剧情 喜剧",大佛普拉斯,218,8.7
昆汀同学越来越变态了，比北野武还杜琪峰。,372320人评价,"导演: Quentin Tarantino 主演: 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,2009 / 德国 美国 / 剧情 犯罪",无耻混蛋,219,8.6
爱上未来的你。 ,311090人评价,"导演: 细田守 Mamoru Hosoda 主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...,2006 / 日本 / 剧情 爱情 科幻 动画",穿越时空的少女,220,8.6
每个美丽事物背后都是滴血的现实。,278063人评价,"导演: 爱德华·兹威克 Edward Zwick 主演: 莱昂纳多·迪卡普里奥 Leonardo ...,2006 / 美国 德国 英国 / 剧情 惊悚 冒险",血钻,221,8.7
“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,398791人评价,"导演: 乔治·米勒 George Miller 主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015 / 澳大利亚 南非 美国 / 动作 科幻 冒险",疯狂的麦克斯4：狂暴之路,222,8.6
,444035人评价,"导演: 布莱恩·辛格 Bryan Singer 主演: 拉米·马雷克 Rami Malek / 本·哈...,2018 / 英国 美国 / 剧情 传记 同性 音乐",波西米亚狂想曲,223,8.7
,1045647人评价,"导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019 / 韩国 / 剧情 喜剧",寄生虫,224,8.7
王家卫是一种风格，张国荣是一个代表。,383771人评价,"导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990 / 中国香港 / 犯罪 剧情 爱情",阿飞正传,225,8.5
谁说王家卫镜头很晃？,277557人评价,"导演: 保罗·格林格拉斯 Paul Greengrass 主演: 马特·达蒙 Matt Damon / ...,2004 / 美国 德国 / 动作 悬疑 惊悚",谍影重重2,226,8.7
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,200385人评价,"导演: 是枝裕和 Hirokazu Koreeda 主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008 / 日本 / 剧情 家庭",步履不停,227,8.8
来啊，互相伤害啊！,426979人评价,"导演: 保罗·格诺维瑟 Paolo Genovese 主演: 马可·贾利尼 Marco Giallini ...,2016 / 意大利 / 剧情 喜剧",完美陌生人,228,8.5
天使保护事件始末。,161302人评价,"导演: 阿米尔·汗 Aamir Khan 主演: 达席尔·萨法瑞 Darsheel Safary / 阿...,2007 / 印度 / 剧情 儿童 家庭",地球上的星星,229,8.9
一个单凭体香达到高潮的男人。,443432人评价,"导演: 汤姆·提克威 Tom Tykwer 主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...,2006 / 德国 法国 西班牙 美国 / 剧情 犯罪 奇幻",香水,230,8.5
做一颗让别人需要你的棋子。,276029人评价,"导演: 安德鲁·尼科尔 Andrew Niccol 主演: 尼古拉斯·凯奇 Nicolas Cage /...,2005 / 美国 法国 / 剧情 犯罪",战争之王,231,8.7
小成本大魅力。,395304人评价,"导演: 詹姆斯·沃德·布柯特 James Ward Byrkit 主演: 艾米丽·芭尔多尼 Em...,2013 / 美国 英国 / 科幻 悬疑 惊悚",彗星来的那一夜,232,8.5
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,331516人评价,"导演: 道格·里曼 Doug Liman 主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002 / 美国 德国 捷克 / 动作 悬疑 惊悚",谍影重重,233,8.6
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,383571人评价,"导演: 史蒂芬·戴德利 Stephen Daldry 主演: 凯特·温丝莱特 Kate Winslet ...,2008 / 美国 德国 / 剧情 爱情",朗读者,234,8.6
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,100021人评价,"导演: 小津安二郎 Yasujirô Ozu 主演: 笠智众 Chishû Ryû / 原节...,1953 / 日本 / 剧情 家庭",东京物语,235,9.2
不可猜的青春迷笛。 ,350810人评价,"导演: 丹尼·博伊尔 Danny Boyle 主演: 伊万·麦克格雷格 Ewan McGregor / ...,1996 / 英国 / 剧情 犯罪",猜火车,236,8.5
世界离独裁只有五天。,215068人评价,"导演: 丹尼斯·甘塞尔 Dennis Gansel 主演: 尤尔根·沃格尔 Jürgen Vogel ...,2008 / 德国 / 剧情 惊悚",浪潮,237,8.7
爱我就给我看你的播放列表。,327598人评价,"导演: 约翰·卡尼 John Carney 主演: 凯拉·奈特莉 Keira Knightley / 马克...,2013 / 美国 / 喜剧 爱情 音乐",再次出发之纽约遇见你,238,8.6
过去的如果就让它过去了，未来只会越来越糟！,712934人评价,"导演: 周申 Shen Zhou / 刘露 Lu Liu 主演: 任素汐 Suxi Ren / 大力 Da Li ...,2016 / 中国大陆 / 剧情 喜剧",驴得水,239,8.3
一部能引人思考的科幻励志片。,195616人评价,"导演: 安德鲁·尼科尔 Andrew Niccol 主演: 伊桑·霍克 Ethan Hawke / 乌玛...,1997 / 美国 / 剧情 科幻 惊悚",千钧一发,240,8.8
新闻人的理性求真。,221732人评价,"导演: 托马斯·麦卡锡 Thomas McCarthy 主演: 马克·鲁弗洛 Mark Ruffalo /...,2015 / 美国 / 剧情 传记",聚焦,241,8.8
宝莱坞的萝莉与大叔。,384984人评价,"导演: 卡比尔·汗 Kabir Khan 主演: 萨尔曼·汗 Salman Khan / 哈莎莉·马...,2015 / 印度 / 剧情 喜剧 动作",小萝莉的猴神大叔,242,8.4
诺兰的牛逼来源于内心散发出的恐惧。,143158人评价,"导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 杰里米·西奥伯德 Jeremy...,1998 / 英国 / 犯罪 悬疑 惊悚",追随,243,8.9
一个精彩的世界观正在缓缓建立。,284378人评价,"导演: Andy Wachowski / Larry Wachowski 主演: 基努·里维斯 Keanu Reeves...,2003 / 美国 澳大利亚 / 动作 科幻",黑客帝国2：重装上阵,244,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,120816人评价,"导演: 秋昌民 Chang-min Choo 主演: 宋在河 Jae-ho Song / 李顺载 Soon-jae...,2011 / 韩国 / 剧情 爱情",我爱你,245,9.0
还原真实而残酷的战争。,227508人评价,"导演: 雷德利·斯科特 Ridley Scott 主演: 乔什·哈奈特 Josh Hartnett / ...,2001 / 美国 英国 / 动作 历史 战争",黑鹰坠落,246,8.7
只有有信仰的人才能说出事实真相。,207740人评价,"导演: 阿斯哈·法哈蒂 Asghar Farhadi 主演: 佩曼·莫阿迪 Peyman Moadi /...,2011 / 伊朗 法国 / 剧情 家庭",一次别离,247,8.7
,305582人评价,"导演: 刘伟强 / 麦兆辉 主演: 陈冠希 / 余文乐 / 曾志伟,2003 / 中国香港 / 动作 犯罪 剧情 惊悚",无间道2,248,8.6
,406963人评价,"导演: 阿尼什·查甘蒂 Aneesh Chaganty 主演: 约翰·赵 John Cho / 米切尔...,2018 / 美国 俄罗斯 / 剧情 犯罪 悬疑 惊悚",网络谜踪,249,8.6
,124082人评价,"导演: 今敏 Satoshi Kon 主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003 / 日本 / 剧情 喜剧 动画",东京教父,250,9.0
